,intensity
0,20.646190719656502
1,20.676113239319108
2,20.653204903187735
3,20.655749849923183
4,20.669845624370442
5,21.41959634423044
6,21.412067066532362
7,21.422071975824913
8,21.43379831710469
9,21.41571151674247
10,21.410795229083362
11,21.41229154584211
12,21.42714915092132
13,21.423329823061973
14,21.429795844652688
15,21.414190399153465
16,21.40683917869825
17,21.40689005219621
18,21.428055335103732
19,21.437038958924738
20,21.4437917798602
21,21.43985607887427
22,21.428211135191233
23,21.434063495212804
24,21.434842495650315
25,21.431495655403275
26,21.404319032793058
27,21.41207978490685
28,21.421865938158177
29,20.6590311905416
30,20.651093653022393
31,20.68732194275714
32,20.67092668620209
33,20.663606625764373
34,20.67678604132963
35,20.677062665974788
36,20.6814600439547
37,21.430362448236217
38,21.45104316107567
39,21.444807342063225
40,21.433234257196055
41,21.436962012759075
42,21.424812785527507
43,21.42283062686324
44,21.428078228177814
45,20.671116825900715
46,20.65785410498255
47,20.671340669291737
48,20.665924549515175
49,20.66900048838558
50,20.67286242279947
51,20.66150427846118
52,20.66950795152773
53,20.662456248791756
54,20.647057476877997
55,20.657857284576174
56,20.64360571004141
57,20.663546213485546
58,20.651425602596582
59,20.664753187224647
60,20.65103260482484
61,20.667613549647445
62,20.659281742519052
63,20.650291123592076
64,20.656851261154014
65,20.656324084531406
66,20.653501877232074
67,20.654859563708882
68,20.64809402439893
69,21.409036277891396
70,21.464438789007254
71,21.48594238067621
72,21.503311864717194
73,21.482762787053712
74,21.46620473530519
75,21.492281218522024
76,21.470982392682355
77,20.721571889339966
78,20.71505563017002
79,20.6970362371926
80,20.715313177253442
81,20.714810165542364
82,20.686893333536826
83,20.68326732496973
84,20.693018502691206
85,21.459839824791672
86,21.453507346133105
87,21.450681959240153
88,21.454576961427716
89,21.461292899077154
90,21.44948007285085
91,21.443621989560757
92,21.449550659829267
93,21.43665931544621
94,21.434268261042092
95,21.444443596552812
96,21.44546615386181
97,21.425880493065943
98,21.44975860525218
99,21.436728630587183
100,21.43502246064935
101,21.43588985378957
102,21.42696537040994
103,21.441351759714294
104,21.430911882014183
105,21.43902048167028
106,21.44179181547165
107,21.436558204369017
108,21.423808669861522
109,20.68928883937202
110,20.659793657092273
111,20.665760482484256
112,20.68780524098776
113,20.682801196544673
114,20.657818493533977
115,20.683779239542954
116,20.670409684279072
117,21.44167607826379
118,21.43639922468789
119,21.42249804137033
120,21.415186883794757
121,21.436272676861716
122,21.431651455490776
123,21.423011863699724
124,21.427834035387605
125,21.436299385448145
126,21.428038801216893
127,21.410011141296053
128,21.41483458482138
129,21.41484666727715
130,21.42357528768963
131,21.429102057324258
132,21.453368715851166
133,21.435296541619607
134,21.41428324328724
135,21.443933589735764
136,21.436567743149883
137,21.43271026016707
138,21.423932038094076
139,21.415989413225073
140,21.429482972640233
141,21.43015005138223
142,21.428976781335532
143,21.42727506282877
144,21.428358668335317
145,21.427451212315457
146,21.421885015719912
147,21.428207319678886
148,21.409117039569406
149,21.42674216293764
150,21.40587003856211
151,21.416641229917687
152,21.407938682172908
153,21.425187341656237
154,21.411172964805715
155,21.43526983303318
156,21.397054933203098
157,20.65107075994831
158,20.633113051087168
159,20.657920240529897
160,20.663471175076054
161,20.66046264359045
162,20.646988797655748
163,20.643905863679375
164,20.64204834508511
165,21.397847287933825
166,21.403336538363703
167,21.419215428914463
168,21.40665412634942
169,21.39220923252241
170,21.405400094624706
171,21.403494882126104
172,21.399290823438438
173,20.64759673595637
174,20.64159620687199
175,20.64129605323403
176,20.636206159763134
177,20.64233514442986
178,20.650357259139422
179,20.622533271267667
180,20.644265157758717
181,21.388679247682713
182,21.416564919670748
183,21.41620117416033
184,21.38549075119807
185,21.38712887783238
186,21.384720017703977
187,21.39838082374368
188,21.419004939816652
189,20.63261576264461
190,20.619429987892108
191,20.622613397026953
192,20.643579637373705
193,20.627359258467894
194,20.623241048808033
195,20.64916427561226
196,20.63025841193289
197,21.398956966108077
198,21.393589812073298
199,21.414260986131886
200,21.39741995055096
201,21.386722525767425
202,21.403145762746355
203,21.385299975580722
204,21.38005491794105
205,20.65005011039549
206,20.62775162032091
207,20.64364513700233
208,20.622415626303635
209,20.631634540052705
210,20.640939938748307
211,20.63234613310542
212,20.63903091073736
213,21.398397357630515
214,21.39150972192546
215,21.372526276161697
216,21.397277504756673
217,21.38949767508114
218,21.38283515460456
219,21.40057156374958
220,21.392668365841498
221,21.396668930537327
222,21.402959438560078
223,21.38876827630414
224,21.38562493004894
225,21.40806459408036
226,21.402402373757415
227,21.38031246502447
228,21.397225359421263
229,21.38753713765351
230,21.390648687972487
231,21.36935113397027
232,21.390025487622477
233,21.38979655688166
234,21.489603364773156
235,21.827397667958852
236,22.28668424346021
237,22.667193843289276
238,23.009982652137197
239,23.28662319526266
240,23.44358001892494
241,23.57270903920312
242,23.64305436850727
243,23.575496906891324
244,23.454681888017255
245,22.56276263443322
246,22.32336085589573
247,21.98380569376189
248,21.57741420184569
249,21.156030290080686
250,20.769227002635247
251,20.62210402612863
252,20.61094492435111
253,20.60221248842628
254,20.600377226987373
255,20.625630831374703
256,20.61912919833542
257,20.594085447127174
258,20.619219498794298
259,20.597982357070908
260,20.6062830041818
261,20.61411943062381
262,20.614170940040495
263,20.63059672069432
264,20.606908112287986
265,20.60672814728895
266,20.60745118687871
267,20.615336579062504
268,20.597247235025385
269,21.372842327767774
270,21.37525754708342
271,21.356541823102674
272,21.355861390067457
273,21.373513857940843
274,21.373829273628196
275,21.33896375772005
276,21.37216952575725
277,20.590720165237123
278,20.592966230172053
279,20.60623594619619
280,20.614397327106417
281,20.594872714508103
282,20.61587456630343
283,20.590671199495336
284,20.617337815288504
285,20.6238578899708
286,20.63064886602973
287,20.62489125789811
288,20.612549983211746
289,20.627619349226215
290,20.628265442650306
291,20.611955399204337
292,20.622694158704963
293,21.37601365444685
294,21.38204788722363
295,21.36916862529634
296,21.389400379516296
297,21.39253164331573
298,21.3761134936866
299,21.398027252932856
300,21.364899066980048
301,20.617851001699176
302,20.617498066807077
303,20.619676724357213
304,20.629802458207422
305,20.859211409908124
306,21.291126771669568
307,21.707381363002757
308,22.07450423776238
309,23.12835383535301
310,23.368846214503016
311,23.52131218013288
312,23.597335627728093
313,23.611743002350355
314,23.55071769787247
315,23.38066985134764
316,23.198098221462512
317,22.156888144440035
318,21.769071202547746
319,21.39336088133248
320,20.957234465777397
321,20.664562411607296
322,20.626644485821558
323,20.633034833084054
324,20.60442167007519
325,20.624210824862896
326,20.595997654731743
327,20.607099523824058
328,20.591399962353613
329,20.59996387981645
330,20.61417729922774
331,20.575684502915053
332,20.593442533296706
333,21.373618148611662
334,21.358400613534386
335,21.361094365251365
336,21.36663448917921
337,21.37577709268134
338,21.365788081356897
339,21.344236795783605
340,21.367562930516975
341,20.60870839819704
342,20.61243996927241
343,20.604112613575083
344,20.60073842882289
345,20.59812098735285
346,20.626096959799764
347,20.596410365983946
348,20.588844204999848
349,21.385960695135477
350,21.41149028824924
351,21.39770102662719
352,21.39492714915092
353,21.41015231525289
354,21.39804442273842
355,21.374884898710867
356,21.39139080512398
357,21.41375161523356
358,21.393568190836664
359,21.41116406194357
360,21.385278354344088
361,21.375560244396283
362,21.37553035621623
363,21.415629483227008
364,21.3678802539605
365,20.60746008974085
366,20.623752327462533
367,20.620749519245443
368,20.62083536827325
369,20.615034517668366
370,20.627118881190032
371,20.616050079871393
372,20.625103654752092
373,20.629855239461556
374,20.60293044066624
375,20.71452590987251
376,21.061651684421516
377,21.48799131080655
378,21.877578014509123
379,22.216326831700293
380,22.52346031358424
381,23.436584912955446
382,23.556405354944395
383,23.634631625001273
384,23.591567208978155
385,23.46443242982001
386,23.310075241903483
387,23.075816138091024
388,22.763428695705258
389,21.639898939796304
390,21.201592594853636
391,20.795157224545445
392,20.6173403589634
393,20.6296383911765
394,20.62010596949625
395,20.598226549861117
396,20.614925139647752
397,21.390255054282022
398,21.38323959891334
399,21.371323753853666
400,21.395846051707824
401,21.37619997863313
402,21.36494294537204
403,21.388389904663065
404,21.366201428527823
405,20.62334470356013
406,20.60939328266333
407,20.63323641931972
408,20.6112768739253
409,20.61013667165227
410,20.619251294730525
411,20.613753141438497
412,20.592777998229604
413,20.622575241903483
414,20.624430216822848
415,20.622001643213984
416,20.609886119674815
417,20.616881225644313
418,20.608516350742246
419,20.61859375476939
420,20.620306919813192
421,21.373512586103395
422,21.37608805693762
423,21.349029079291434
424,21.38797655749214
425,21.36110199627606
426,21.358547510759745
427,21.36787453069198
428,21.369463055665783
429,21.36926528494246
430,21.37784192077979
431,21.34774261571177
432,21.370274487958245
433,21.406385132728957
434,21.37857577098786
435,21.359199327452355
436,21.367626522389426
437,20.627092172603604
438,20.592699144307765
439,20.60214762471638
440,20.611817404841123
441,20.59178532910066
442,20.609454966779605
443,20.614688577882237
444,20.614249793962333
445,20.62747054424468
446,20.844782414049224
447,21.25772895617757
448,21.66672962262039
449,22.050087502416492
450,22.378005351891986
451,22.605325310582707
452,22.774881591933497
453,23.590791388134264
454,23.618966403141947
455,23.557257486035226
